last_work_place;title;href;count
ERP Band;Junior Android Developer / Android разработчик;https://hh.ru/resume/9659cdcd0007253f850039ed1f79754e593972;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Связист;Помощник системного администратора  продавец-консультант;https://hh.ru/resume/d1574cfc00070a1ce20039ed1f6c4774443962;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Проект Velm;2D animator ;https://hh.ru/resume/c5d2d67500080043d00039ed1f6346536c6b35;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Связист;Помощник системного администратора  продавец-консультант;https://hh.ru/resume/d1574cfc00070a1ce20039ed1f6c4774443962;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
Око;Тестировщик;https://hh.ru/resume/11d91cac00079edc6c0039ed1f4c6254434e66;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
ООО Капучин;Программист-стажер;https://hh.ru/resume/95e8931a00080e510c0039ed1f677873453773;9
Навикон  ООО;Программист;https://hh.ru/resume/a89bb6ff00077bbc020039ed1f5a5a4b42497a;9
Навикон  ООО;Программист;https://hh.ru/resume/a89bb6ff00077bbc020039ed1f5a5a4b42497a;9
Связист;Помощник системного администратора  продавец-консультант;https://hh.ru/resume/d1574cfc00070a1ce20039ed1f6c4774443962;9
Связист;Помощник системного администратора  продавец-консультант;https://hh.ru/resume/d1574cfc00070a1ce20039ed1f6c4774443962;9
Навикон  ООО;Программист;https://hh.ru/resume/a89bb6ff00077bbc020039ed1f5a5a4b42497a;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Философия ИТ;Junior data scientist  data analyst  аналитик данных ;https://hh.ru/resume/78c8c55f00073c36850039ed1f4853526a4b74;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Связист;Помощник системного администратора  продавец-консультант;https://hh.ru/resume/d1574cfc00070a1ce20039ed1f6c4774443962;9
Такском  ООО;Оператор call-центра;https://hh.ru/resume/fd08fd5e000556035f0039ed1f366857674535;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
Собственные проекты;iOS разработчик;https://hh.ru/resume/5028c1910002b063a90039ed1f324a6f494634;9
